variant_id,category,flag_or_enum,value,default,branch,commit,source_file,function,line_range,behavioral_effect,compatible_with_current_head,notes
R17,candidate_cost,SAMPLING_C3_ROUTE_PREDICTION_MODE,calibrated_v1,raw,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,selection,768-769;2481,multiplies predicted dV by measured fidelity 0.61,yes,mode-2 only
R18,candidate_cost,SAMPLING_C3_ROUTE_MIN_PROGRESS,double m,0.002,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,selection,766-767;2504,reject candidates below dV threshold,yes,mode-2 only
R19,reposition_cost,SAMPLING_C3_REPOSITION_SCORE_MODE,current,current,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,mode logic,745-750,raw J_rank + hysteresis switching,yes,
R20,reposition_cost,SAMPLING_C3_REPOSITION_SCORE_MODE,transaction_v1,current,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,mode logic,2353;2636;2664-2669,C3->repos exit gated on transaction value; hysteresis scaled by predicted repos time; buffer augmentation skipped,yes,landed b7364606e
R21,reposition_cost,SAMPLING_C3_REPOSITION_SCORE_MODE,transaction_v1_1,current,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,mode logic,2788-2800,v1 + symmetric no-better-candidate gate,yes,landed e17cf46ea
R22,recovery,SAMPLING_C3_REPOS_TIMEOUT_LOOPS,int,1100,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,mode logic,751-752;2789,loop cap on reposition mode,yes,
R23,recovery,SAMPLING_C3_REPOS_TIMEOUT_DEFAULT,0=off,ON,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,mode logic,804-805;2788,timeout active outside transaction_v1_1 (P5 fix),yes,landed 5fbec41ef
R24,execution_safety,SAMPLING_C3_REPOS_PATH_VETO,0=off,ON,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,ReposPwlPathBlocked+veto loop,800-801;2411-2436,candidates with obstacle-blocked PWL reposition path excluded pre-argmin; escape zone 4cm; placeholder slots excluded,yes,landed 5fbec41ef+43d5efb96
R25,execution_safety,SAMPLING_C3_OBS_TOP_Z,double m,0.12,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,path veto,802-803,obstacle top height for z-aware veto,yes,
R26,execution_safety,SAMPLING_C3_PUSHER_FILTER,1=on,off,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,candidate filter,794-795;2378-2382,reject candidate endpoints violating pusher-obstacle margin,yes,
R27,execution_safety,SAMPLING_C3_SWEPT_CHECK,1=on,off,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,swept check,798-799;3629-3639,swept-path log of executed reposition trajectory,yes,LOGGING ONLY (the veto R24 is the enforcing version)
R28,logging,SAMPLING_C3_COST_LOG_DIR,dir,unset,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,CostLogger,84-146,enables all CSV logging streams,yes,LOGGING ONLY
R29,reposition_cost,SAMPLING_C3_REPOS_PUSH_HORIZON_S,double s,5.0,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,transaction/lex,770-771;2474;2669,T_push denominator in transaction and route-rate scores,yes,
R30,progress_detection,progress_params_c3plus.yaml,drop 0.5 over 16 loops,same,c3plus-channel-route-v1,43d5efb96,examples/sampling_c3/anything/parameters/progress_params_c3plus.yaml,KeepTrackOfC3ModeProgress,4035-4046,no-progress detector (C3-loops-only config cost window),yes,yaml not env
