recovery_index,config_id,scene,start_id,rotation_label,seed,original_manifest_id,original_run_receipt,original_failure,validated_frozen_version,controller_binary_sha256,inner_config_sha256,bugfix_commit,status
12,B1,shelf_gap,s5,rotCCW090,1,FCO_112_shelf_gap_s05_g02_rotCCW090_seed1_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_112_shelf_gap_s05_g02_rotCCW090_seed1_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
13,B1,shelf_gap,s5,rotCW090,0,FCO_118_shelf_gap_s05_g02_rotCW090_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_118_shelf_gap_s05_g02_rotCW090_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
14,B2,shelf_gap,s5,rotCW090,0,FCO_119_shelf_gap_s05_g02_rotCW090_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_119_shelf_gap_s05_g02_rotCW090_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
15,B1,shelf_gap,s5,rotCW090,1,FCO_124_shelf_gap_s05_g02_rotCW090_seed1_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_124_shelf_gap_s05_g02_rotCW090_seed1_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
16,B2,shelf_gap,s5,rotCW090,1,FCO_125_shelf_gap_s05_g02_rotCW090_seed1_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_125_shelf_gap_s05_g02_rotCW090_seed1_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
17,B2,single_obstacle,s1,rot000,0,FCO_003_single_obstacle_s01_g02_rot000_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_003_single_obstacle_s01_g02_rot000_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
18,B2,single_obstacle,s1,rot000,1,FCO_008_single_obstacle_s01_g02_rot000_seed1_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_008_single_obstacle_s01_g02_rot000_seed1_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
19,B1,single_obstacle,s1,rotCCW090,0,FCO_016_single_obstacle_s01_g02_rotCCW090_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_016_single_obstacle_s01_g02_rotCCW090_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
20,B1,single_obstacle,s1,rotCW090,0,FCO_031_single_obstacle_s01_g02_rotCW090_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_031_single_obstacle_s01_g02_rotCW090_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
21,B1,single_obstacle,s1,rotCW090,1,FCO_037_single_obstacle_s01_g02_rotCW090_seed1_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_037_single_obstacle_s01_g02_rotCW090_seed1_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
22,B2,single_obstacle,s1,rotCW090,1,FCO_038_single_obstacle_s01_g02_rotCW090_seed1_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_038_single_obstacle_s01_g02_rotCW090_seed1_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
23,B2,single_obstacle,s3,rot000,0,FCO_044_single_obstacle_s03_g02_rot000_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_044_single_obstacle_s03_g02_rot000_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
24,B1,single_obstacle,s3,rotCCW090,0,FCO_059_single_obstacle_s03_g02_rotCCW090_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_059_single_obstacle_s03_g02_rotCCW090_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
25,B1,single_obstacle,s3,rotCW090,0,FCO_073_single_obstacle_s03_g02_rotCW090_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_073_single_obstacle_s03_g02_rotCW090_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
26,B2,single_obstacle,s3,rotCW090,0,FCO_071_single_obstacle_s03_g02_rotCW090_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_071_single_obstacle_s03_g02_rotCW090_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
27,B1,single_obstacle,s5,rot000,0,FCO_085_single_obstacle_s05_g02_rot000_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_085_single_obstacle_s05_g02_rot000_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
28,B1,single_obstacle,s5,rot000,1,FCO_094_single_obstacle_s05_g02_rot000_seed1_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_094_single_obstacle_s05_g02_rot000_seed1_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
29,B2,single_obstacle,s5,rotCCW090,0,FCO_102_single_obstacle_s05_g02_rotCCW090_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_102_single_obstacle_s05_g02_rotCCW090_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
30,B2,single_obstacle,s5,rotCCW090,1,FCO_108_single_obstacle_s05_g02_rotCCW090_seed1_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_108_single_obstacle_s05_g02_rotCCW090_seed1_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
31,B1,single_obstacle,s5,rotCW090,0,FCO_116_single_obstacle_s05_g02_rotCW090_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_116_single_obstacle_s05_g02_rotCW090_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
32,B2,single_obstacle,s5,rotCW090,0,FCO_113_single_obstacle_s05_g02_rotCW090_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_113_single_obstacle_s05_g02_rotCW090_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
33,B2,single_obstacle,s5,rotCW090,1,FCO_122_single_obstacle_s05_g02_rotCW090_seed1_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_122_single_obstacle_s05_g02_rotCW090_seed1_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
